index,strategy,exit,entry_date,expiry,split,pnl_inr,mc_ev,regime
NIFTY,Adaptive,expiry_settlement,2022-07-25,2022-07-28,development,9371.24999999989,46.62223297668649,low
NIFTY,Adaptive,15:00,2022-07-25,2022-07-28,development,-21941.25,46.62223297668649,low
NIFTY,Adaptive,15:10,2022-07-25,2022-07-28,development,-25458.750000000004,46.62223297668649,low
NIFTY,Adaptive,expiry_settlement,2022-08-01,2022-08-04,development,3783.749999999999,50.86841372657188,low
NIFTY,Adaptive,15:00,2022-08-01,2022-08-04,development,-21877.500000000004,50.86841372657188,low
NIFTY,Adaptive,15:10,2022-08-01,2022-08-04,development,-24843.75,50.86841372657188,low
NIFTY,Adaptive,expiry_settlement,2022-08-05,2022-08-11,development,14973.75,25.795453647678045,low
NIFTY,Adaptive,15:00,2022-08-05,2022-08-11,development,-17280.0,25.795453647678045,low
NIFTY,Adaptive,15:10,2022-08-05,2022-08-11,development,-17583.75,25.795453647678045,low
NIFTY,Adaptive,expiry_settlement,2022-08-12,2022-08-18,development,17088.75,56.93565100754135,low
NIFTY,Adaptive,15:00,2022-08-12,2022-08-18,development,-36198.75,56.93565100754135,low
NIFTY,Adaptive,15:10,2022-08-12,2022-08-18,development,-36652.5,56.93565100754135,low
NIFTY,Adaptive,expiry_settlement,2022-08-22,2022-08-25,development,-9990.0,47.41516293183267,low
NIFTY,Adaptive,15:00,2022-08-22,2022-08-25,development,-10773.749999999998,47.41516293183267,low
NIFTY,Adaptive,15:10,2022-08-22,2022-08-25,development,-10259.999999999998,47.41516293183267,low
NIFTY,Adaptive,expiry_settlement,2022-08-26,2022-09-01,development,-11265.0,32.63676530812221,low
NIFTY,Adaptive,15:00,2022-08-26,2022-09-01,development,-11475.0,32.63676530812221,low
NIFTY,Adaptive,15:10,2022-08-26,2022-09-01,development,-11441.249999999998,32.63676530812221,low
NIFTY,Adaptive,expiry_settlement,2022-09-05,2022-09-08,development,-17178.75,28.091981649074516,medium
NIFTY,Adaptive,15:00,2022-09-05,2022-09-08,development,-47257.5,28.091981649074516,medium
NIFTY,Adaptive,15:10,2022-09-05,2022-09-08,development,-47748.75000000001,28.091981649074516,medium
