"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/2025","25,060.90","25,166.65","25,182.00","25,035.55","483.73M","-0.12%"
"07/21/2025","25,090.70","24,999.00","25,111.40","24,882.30","305.22M","0.49%"
"07/18/2025","24,968.40","25,108.55","25,144.60","24,918.65","316.98M","-0.57%"
"07/17/2025","25,111.45","25,230.75","25,238.35","25,101.00","243.41M","-0.40%"
"07/16/2025","25,212.05","25,196.60","25,255.30","25,121.05","228.82M","0.06%"
"07/15/2025","25,195.80","25,089.50","25,245.20","25,088.45","241.34M","0.45%"
"07/14/2025","25,082.30","25,149.50","25,151.10","25,001.95","259.53M","-0.27%"
"07/11/2025","25,149.85","25,255.50","25,322.45","25,129.00","249.99M","-0.81%"
"07/10/2025","25,355.25","25,511.65","25,524.05","25,340.45","219.61M","-0.47%"
"07/09/2025","25,476.10","25,514.60","25,548.70","25,424.35","239.08M","-0.18%"
"07/08/2025","25,522.50","25,427.85","25,548.05","25,424.15","210.41M","0.24%"
"07/07/2025","25,461.30","25,450.45","25,489.80","25,407.25","196.05M","0.00%"
"07/04/2025","25,461.00","25,428.85","25,470.25","25,331.65","193.51M","0.22%"
"07/03/2025","25,405.30","25,505.10","25,587.50","25,384.35","293.43M","-0.19%"
"07/02/2025","25,453.40","25,588.30","25,608.10","25,378.75","309.83M","-0.35%"
"07/01/2025","25,541.80","25,551.35","25,593.40","25,501.80","260.67M","0.10%"
"06/30/2025","25,517.05","25,661.65","25,669.35","25,473.30","270.98M","-0.47%"
"06/27/2025","25,637.80","25,576.65","25,654.20","25,523.55","563.96M","0.35%"
"06/26/2025","25,549.00","25,268.95","25,565.30","25,259.90","428.89M","1.21%"
"06/25/2025","25,244.75","25,150.35","25,266.80","25,125.05","260.58M","0.80%"
"06/24/2025","25,044.35","25,179.90","25,317.70","24,999.70","450.19M","0.29%"
"06/23/2025","24,971.90","24,939.75","25,057.00","24,824.85","248.53M","-0.56%"
"06/20/2025","25,112.40","24,787.65","25,136.20","24,783.65","574.65M","1.29%"
"06/19/2025","24,793.25","24,803.25","24,863.10","24,733.40","274.62M","-0.08%"
"06/18/2025","24,812.05","24,788.35","24,947.55","24,750.45","237.60M","-0.17%"
"06/17/2025","24,853.40","24,977.85","24,982.05","24,813.70","242.42M","-0.37%"
"06/16/2025","24,946.50","24,732.35","24,967.10","24,703.60","305.81M","0.92%"
"06/13/2025","24,718.60","24,473.00","24,754.35","24,473.00","318.71M","-0.68%"
"06/12/2025","24,888.20","25,164.45","25,196.20","24,825.90","328.31M","-1.01%"
"06/11/2025","25,141.40","25,134.15","25,222.40","25,081.30","301.25M","0.15%"
"06/10/2025","25,104.25","25,196.05","25,199.30","25,055.45","307.32M","0.00%"
"06/09/2025","25,103.20","25,160.10","25,160.10","25,077.15","279.22M","0.40%"
"06/06/2025","25,003.05","24,748.70","25,029.50","24,671.45","335.58M","1.02%"
"06/05/2025","24,750.90","24,691.20","24,899.85","24,613.10","388.41M","0.53%"
